flight_id,flight_date,total_payload_kg,total_volume_cubic_m,uld_count,shipment_count,weight_utilization_percent,revenue_per_flight_usd,fuel_efficiency_kg_per_ton,co2_emissions_kg
QR0001F,2024-11-08,2492.9,7.27,3,4,2.49,17184.670000000002,444.0340609699328,6900.118238044519
QR0002F,2024-08-18,432.76,0.82,0,1,0.43,3635.18,431.8150974344712,1623.4307908905348
QR0003F,2024-09-17,2322.36,17.07,7,8,2.32,17851.98,398.9881391276193,5457.583831455127
QR0005F,2024-03-07,27.91,1.34,1,1,0.03,261.25,482.5856929446836,75.47649905993413
QR0007F,2024-12-04,1084.18,6.69,5,5,1.08,9077.04,392.3041819824569,3922.5758651345764
QR0008F,2024-11-06,3399.52,13.47,6,7,3.4,26042.109999999997,468.81596423229934,9241.772405938107
QR0010F,2024-10-30,5884.14,35.82,12,15,5.88,43946.02999999999,395.7485150319815,22575.0364702047
QR0011F,2024-08-05,516.25,2.14,2,2,0.52,4264.26,472.46563494297857,1358.793627307021
QR0012F,2024-09-13,2005.53,7.42,2,3,2.01,16437.87,457.9530827656459,4263.403752858885
QR0013F,2024-09-11,1233.61,2.58,2,2,1.23,9348.369999999999,459.49754841797323,4180.141372028924
QR0014F,2024-12-03,8610.98,24.22,12,15,8.61,54147.98,422.2748392361355,32074.16425495534
QR0016F,2025-01-18,12074.28,62.78,28,32,12.07,79501.64,408.68286646312026,25304.155160308157
QR0017F,2024-05-29,387.9,3.48,1,1,0.39,1396.45,513.7265846047871,997.1538415197741
QR0018F,2025-01-22,13901.59,68.94,21,27,13.9,98926.29000000001,459.58275499851686,44497.43820068619
QR0020F,2024-11-30,8705.59,50.64,20,24,8.71,64940.09,450.08127906292555,29479.397605584814
QR0021F,2025-01-11,2914.79,8.43,5,6,2.91,16182.07,465.537553239692,7854.197563507462
QR0022F,2024-09-07,3210.24,13.82,6,7,3.21,18197.25,393.52322953845635,9286.299876686688
QR0023F,2024-10-06,1405.56,13.56,4,4,1.41,6400.290000000001,358.7798406023853,4818.893157237555
QR0024F,2024-02-07,146.65,2.07,1,1,0.15,1029.47,411.071388540077,419.6217088600997
QR0025F,2024-09-11,840.0,5.72,2,2,0.84,4608.15,370.56583311330826,2661.6366488926055
QR0027F,2024-06-20,438.73,7.6,1,2,0.44,4106.51,519.5100274502196,1469.0371181384846
QR0029F,2025-01-05,20287.8,94.26,27,40,20.29,129608.61000000002,428.3121930210655,58184.77351702353
QR0030F,2024-12-25,6208.91,29.2,9,11,6.21,39462.490000000005,534.7819902825914,17120.24641909605
QR0031F,2024-07-11,764.62,1.4,2,2,0.76,5367.63,398.9635659213383,2277.406772897535
QR0032F,2024-07-05,962.21,8.24,3,5,0.96,6616.120000000001,448.709996357224,2492.5207112330763
QR0033F,2024-04-19,608.92,3.55,2,2,0.61,4186.95,429.95286153792847,1731.9204381583938
QR0035F,2024-04-23,1084.18,1.28,1,2,1.08,7657.15,475.1703248728995,2651.968022036305
QR0036F,2024-09-04,978.45,9.08,5,5,0.98,4694.91,485.23358412427723,3602.850783622969
QR0037F,2024-03-26,121.65,1.21,1,1,0.12,1138.65,541.107832499838,338.95274737885353
QR0038F,2024-11-21,6015.83,34.59,14,14,6.02,44245.90000000001,545.4587588483445,19400.085642687827
QR0039F,2024-05-16,1073.5,2.09,0,1,1.07,3864.59,496.81417942549405,2823.8228087375455
QR0040F,2024-04-19,636.28,2.05,2,2,0.64,4380.0,428.0206259822858,1461.2800708633342
QR0043F,2024-11-18,2706.77,11.3,9,9,2.71,17222.36,551.9010586916312,7030.624710401672
QR0044F,2024-09-28,3538.59,17.12,7,9,3.54,19513.09,412.2182752901881,10992.523927511398
QR0045F,2024-05-09,354.76,0.65,0,2,0.35,2490.39,476.6755317386628,709.3800489843943
QR0048F,2024-10-25,4944.8,25.33,6,11,4.94,28357.789999999997,459.56172150173376,14464.233661453165
QR0049F,2024-04-07,600.11,6.21,2,2,0.6,2520.48,534.969342807264,1991.447306546057
QR0050F,2024-05-24,2427.69,2.45,2,2,2.43,23322.66,333.84602012870613,6213.080345537889
QR0051F,2024-09-06,1696.19,8.74,4,4,1.7,12341.84,432.1733954460574,5670.37371581067
QR0052F,2024-12-13,7103.15,26.93,11,13,7.1,51938.670000000006,461.1230102978294,25219.85438873001
QR0053F,2024-09-04,3776.32,1.63,1,2,3.78,40311.85,404.71970898597425,13581.70135986436
QR0054F,2025-01-15,1860.08,13.69,5,7,1.86,12990.430000000002,435.18292491123935,5060.351477107401
QR0055F,2024-01-31,891.84,2.49,1,1,0.89,9631.89,390.7296786438432,3048.791926384945
QR0056F,2025-01-09,5872.26,42.74,16,20,5.87,47429.00000000001,491.1169991449556,20984.567806675077
QR0060F,2024-03-20,107.15,6.06,1,1,0.11,385.74,445.3888288279703,398.0871139555899
QR0062F,2024-05-18,1327.53,2.39,2,2,1.33,7918.110000000001,442.67317535078365,3345.973660670711
QR0064F,2024-02-11,459.55,0.19,1,1,0.46,1930.11,377.65877293406123,1043.4320342604415
QR0065F,2024-03-20,749.29,2.51,2,2,0.75,3795.62,428.3779227770139,1637.340184745167
QR0066F,2024-11-20,2137.26,7.41,2,2,2.14,8677.51,472.12684738932626,9299.183777485858
