flight_id,flight_number,origin_airport,destination_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,aircraft_type,planned_payload_kg,actual_payload_kg,fuel_consumption_kg,flight_status,captain_id
QR0001F,QR0001,DOH,SIN,2024-11-08 03:34:00,2024-11-08 03:22:54.326667,2024-11-08 10:34:00,2024-11-08 10:48:35.766937,A350F,80646.7815981808,2492.9,59106.99835283223,Completed,bb2ad700
QR0002F,QR0002,DOH,SIN,2024-08-18 13:12:00,2024-08-18 13:12:02.167810,2024-08-19 04:12:00,2024-08-19 04:12:32.402980,B747-8F,104643.94248597418,432.76,57434.07809538068,Completed,fc6b8828
QR0003F,QR0003,HKG,DOH,2024-09-17 07:28:00,2024-09-17 07:22:49.220769,2024-09-17 16:28:00,2024-09-17 16:15:59.700214,A350F,92536.22245898226,2322.36,60781.33120809749,Completed,401811f3
QR0004F,QR0004,DOH,MEL,2024-01-07 04:33:00,2024-01-07 04:35:33.586288,2024-01-07 19:33:00,2024-01-07 19:18:46.261070,B777F,106470.60618909584,,55214.594613666915,Completed,81a9e332
QR0005F,QR0005,SYD,DOH,2024-03-07 07:31:00,2024-03-07 07:39:38.803758,2024-03-07 17:31:00,2024-03-07 17:49:03.456625,A350F,88709.16136988098,27.91,59480.40244260581,Diverted,ff83df96
QR0006F,QR0006,DOH,HKG,2024-01-10 03:47:00,2024-01-10 03:55:54.080731,2024-01-10 19:47:00,2024-01-10 19:59:15.536887,B777F,107194.914957887,,55768.83168901746,Completed,acb17bfe
QR0007F,QR0007,DOH,LHR,2024-12-04 16:56:00,2024-12-04 17:05:20.792824,2024-12-05 02:56:00,2024-12-05 03:10:53.725876,A350F,99457.03340104286,1084.18,57942.25525848626,Completed,608aebf0
QR0008F,QR0008,LHR,DOH,2024-11-06 12:09:00,2024-11-06 12:01:51.388930,2024-11-06 17:09:00,2024-11-06 17:18:21.636592,B777-300ER,101240.1251897185,3399.52,67899.33477802754,Completed,83ad7ed6
QR0009F,QR0009,FRA,DOH,2024-05-30 08:57:00,2024-05-30 09:07:37.089988,2024-05-30 12:57:00,2024-05-30 13:28:49.716210,A350F,115252.99557859807,,67016.89328349294,Completed,36da279b
QR0010F,QR0010,IST,DOH,2024-10-30 20:54:00,2024-10-30 20:58:19.970480,2024-10-31 12:54:00,2024-10-31 13:10:24.545890,A330-300,116087.76473530702,5884.14,54322.90772398567,Completed,1aa0883b
QR0011F,QR0011,DOH,PVG,2024-08-05 08:18:00,2024-08-05 08:31:09.604452,2024-08-05 12:18:00,2024-08-05 12:23:04.698098,B777F,108991.57204781742,516.25,60603.27323595443,Completed,70ce5c6c
QR0012F,QR0012,DOH,LHR,2024-09-13 16:28:00,2024-09-13 16:21:28.786798,2024-09-14 01:28:00,2024-09-14 01:20:35.734918,B777-300ER,84870.07990590714,2005.53,60235.17182004252,Completed,53f88f20
QR0013F,QR0013,DOH,JFK,2024-09-11 13:02:00,2024-09-11 12:47:00.000000,2024-09-12 03:02:00,2024-09-12 03:02:42.259081,B777-300ER,81396.23436292437,1233.61,48788.89170627986,Completed,cd07d88f
QR0014F,QR0014,DOH,LAX,2024-12-03 14:44:00,2024-12-03 14:52:19.502869,2024-12-04 03:44:00,2024-12-04 03:54:47.117230,B777F,112896.8924006511,8610.98,61326.594352241096,Completed,93848376
QR0015F,QR0015,DOH,HKG,2024-01-28 09:18:00,2024-01-28 09:10:56.677232,2024-01-28 13:18:00,2024-01-28 12:58:15.241526,A350F,88341.1016119675,,63141.65022870898,Cancelled,519456ee
QR0016F,QR0016,DOH,DEL,2025-01-18 19:40:00,2025-01-18 19:43:34.297042,2025-01-19 08:40:00,2025-01-19 08:24:24.456803,A330-300,97030.46459721221,12074.28,67886.85435044018,Completed,7a86fb7b
QR0017F,QR0017,DOH,SIN,2024-05-29 17:41:00,2024-05-29 17:35:19.531631,2024-05-30 06:41:00,2024-05-30 07:02:20.907198,A350F,102088.60272218518,387.9,51468.695900151804,Completed,0633bd3d
QR0018F,QR0018,DOH,LAX,2025-01-22 18:24:00,2025-01-22 18:28:25.160212,2025-01-23 07:24:00,2025-01-23 06:51:14.477168,B747-8F,95537.08884911428,13901.59,49782.5324875744,Completed,c8a0eac8
QR0019F,QR0019,DOH,PVG,2024-05-10 09:36:00,2024-05-10 09:34:01.155822,2024-05-10 16:36:00,2024-05-10 16:53:31.718683,B747-8F,104145.7809802395,,58407.5910056476,Completed,9d82a843
QR0020F,QR0020,DXB,DOH,2024-11-30 09:49:00,2024-11-30 09:50:04.096256,2024-11-30 19:49:00,2024-11-30 19:58:10.663909,A350F,90442.67199581317,8705.59,62357.6424208762,Completed,d8e86425
QR0021F,QR0021,DOH,LHR,2025-01-11 13:39:00,2025-01-11 13:36:27.060231,2025-01-12 01:39:00,2025-01-12 01:26:43.446221,A350F,85415.14384044404,2914.79,61156.81162170645,Completed,dc040252
QR0022F,QR0022,DOH,MAD,2024-09-07 00:41:00,2024-09-07 00:44:55.128757,2024-09-07 15:41:00,2024-09-07 15:29:23.990594,B747-8F,109416.56102028012,3210.24,56837.657918449324,Completed,29ccedb9
QR0023F,QR0023,DOH,NRT,2024-10-06 16:38:00,2024-10-06 16:28:04.936412,2024-10-07 06:38:00,2024-10-07 06:17:41.426323,A330-300,116586.60429694998,1405.56,53631.28557317092,Completed,d1bcf546
QR0024F,QR0024,PVG,DOH,2024-02-07 04:42:00,2024-02-07 04:57:53.488381,2024-02-07 20:42:00,2024-02-07 21:05:24.504729,B777F,99604.76944507129,146.65,68877.07287577345,Completed,4e2f6a8f
QR0025F,QR0025,DOH,LHR,2024-09-11 11:26:00,2024-09-11 11:29:04.641161,2024-09-11 16:26:00,2024-09-11 16:39:36.385128,B747-8F,112426.6309393405,840.0,55497.71011015276,Completed,281db44d
QR0026F,QR0026,DOH,LHR,2024-10-05 17:51:00,2024-10-05 18:06:09.190857,2024-10-05 23:51:00,2024-10-05 23:58:01.594944,A350F,96161.19801313839,,65562.82051037416,Completed,16c1aec6
QR0027F,QR0027,MAD,DOH,2024-06-20 21:17:00,2024-06-20 23:41:34.529111,2024-06-21 09:17:00,2024-06-21 11:52:50.990676,A350F,93815.86648254385,438.73,54136.5255517018,Completed,6b27ae19
QR0028F,QR0028,FRA,DOH,2024-06-22 00:35:00,2024-06-22 00:31:52.808110,2024-06-22 10:35:00,2024-06-22 10:41:32.596065,B777F,116681.82360617904,,55071.259627489846,Completed,c5386609
QR0029F,QR0029,DOH,FRA,2025-01-05 16:20:00,2025-01-05 16:08:04.215977,2025-01-06 08:20:00,2025-01-06 08:02:10.762363,B777F,91403.97997531976,20287.8,50996.1277060591,Completed,3bfe6961
QR0030F,QR0030,DOH,CAN,2024-12-25 04:15:00,2024-12-25 04:11:08.019481,2024-12-25 20:15:00,2024-12-25 20:22:43.882843,B777-300ER,80313.79684962492,6208.91,55635.48162336751,Completed,29e79c4e
QR0031F,QR0031,LHR,DOH,2024-07-11 05:30:00,2024-07-11 05:44:20.175012,2024-07-11 09:30:00,2024-07-11 09:47:12.480656,B777F,90649.13145269873,764.62,68211.36140582948,Completed,0aef2b8c
QR0032F,QR0032,ORD,DOH,2024-07-05 02:03:00,2024-07-05 02:34:55.708407,2024-07-05 18:03:00,2024-07-05 18:49:59.612556,A350F,97833.98536794871,962.21,65007.01455115033,Completed,204fec26
QR0033F,QR0033,SYD,DOH,2024-04-19 00:03:00,2024-04-18 23:58:25.585759,2024-04-19 10:03:00,2024-04-19 09:46:47.792015,A330-300,84120.76777768825,608.92,65605.19631922462,Completed,9abb4153
QR0034F,QR0034,DOH,HKG,2024-03-29 23:20:00,2024-03-29 23:22:14.129126,2024-03-30 09:20:00,2024-03-30 09:24:50.521408,B747-8F,82066.48703315959,,55746.17575656136,Completed,56ad458e
QR0035F,QR0035,AMS,DOH,2024-04-23 20:26:00,2024-04-23 20:37:58.307119,2024-04-24 00:26:00,2024-04-24 00:26:24.369177,B777-300ER,91773.92666061512,1084.18,63908.620941571564,Completed,8fdc18f5
QR0036F,QR0036,DOH,IST,2024-09-04 14:28:00,2024-09-04 14:36:23.124887,2024-09-05 00:28:00,2024-09-05 00:48:45.328241,B747-8F,109911.06553088402,978.45,55419.83127646201,Completed,566a3f42
QR0037F,QR0037,DOH,JFK,2024-03-26 23:25:00,2024-03-26 23:11:50.521555,2024-03-27 09:25:00,2024-03-27 09:04:51.165675,B747-8F,100850.83227567477,121.65,61084.721637978735,Completed,862f5911
