uld_id,uld_type,max_weight_kg,max_volume_cubic_m,purchase_date,current_status,current_location,last_inspection_date,total_flights
ULD000001,PAG,6804,18.0,2021-09-14,Available,CAN,2023-07-10,53
ULD000002,AMA,6804,18.0,2024-09-08,In Use,LAX,2024-04-13,52
ULD000003,PLA,4627,12.0,2020-01-24,In Use,JFK,2023-07-11,39
ULD000004,PLA,4627,12.0,2020-02-22,In Use,SIN,2024-11-21,44
ULD000005,AAP,6032,16.0,2024-10-13,In Use,FRA,2024-11-29,43
ULD000006,AKE,1588,10.4,2024-05-02,In Use,FRA,2023-11-29,38
ULD000007,PMC,6804,18.0,2021-12-03,Available,MEL,2024-03-18,40
ULD000008,DQF,2449,7.0,2020-01-25,In Use,CAN,2025-01-17,57
ULD000009,AKE,1588,10.4,2024-03-23,In Use,SYD,2023-06-25,42
ULD000010,AMA,6804,18.0,2020-08-06,In Use,HKG,2024-11-14,63
ULD000011,PMC,6804,18.0,2023-09-01,In Use,LAX,2024-02-22,51
ULD000012,P1P,6804,18.0,2024-06-18,Under Maintenance,BKK,2024-04-16,56
ULD000013,AKH,1588,11.5,2021-12-12,In Use,BKK,2024-03-27,46
ULD000014,PAG,6804,18.0,2022-03-23,In Use,FRA,2024-04-07,50
ULD000015,AAP,6032,16.0,2023-11-09,In Use,MAD,2023-08-01,40
ULD000016,P6P,13608,36.0,2022-03-03,In Use,PVG,2023-09-08,45
ULD000017,PMC,6804,18.0,2021-02-22,Available,CDG,2024-04-14,42
ULD000018,AMA,6804,18.0,2024-07-19,In Use,DEL,2023-07-13,51
ULD000019,AKH,1588,11.5,2023-08-11,In Use,IST,2024-05-28,46
ULD000020,PAG,6804,18.0,2021-03-26,In Use,CAN,2024-01-27,46
ULD000021,AKH,1588,11.5,2023-07-04,In Use,PVG,2023-08-18,45
ULD000022,P1P,6804,18.0,2023-03-26,In Use,PVG,2024-06-17,56
ULD000023,AAP,6032,16.0,2021-08-02,In Use,IST,2023-08-30,49
ULD000024,PMC,6804,18.0,2023-03-30,In Use,CDG,2023-06-26,47
ULD000025,P6P,13608,36.0,2024-08-25,In Use,IST,2024-05-25,40
ULD000026,PMC,6804,18.0,2021-06-14,Available,MAD,2023-09-08,64
ULD000027,AAP,6032,16.0,2024-04-02,In Use,MAD,2024-09-05,51
ULD000028,P6P,13608,36.0,2023-01-29,In Use,MAD,2024-09-13,41
ULD000029,DQF,2449,7.0,2023-01-21,Available,LAX,2023-10-30,43
ULD000030,DQF,2449,7.0,2021-07-02,Available,CDG,2023-09-06,42
ULD000031,P6P,13608,36.0,2022-07-22,In Use,ORD,2024-09-01,53
ULD000032,PAG,6804,18.0,2022-07-23,Available,PVG,2024-03-26,47
ULD000033,AKE,1588,10.4,2022-02-07,Under Maintenance,JFK,2024-03-19,48
ULD000034,PMC,6804,18.0,2020-06-20,In Use,ORD,2023-11-08,49
ULD000035,AAP,6032,16.0,2021-12-19,Available,ORD,2024-10-02,49
ULD000036,PAG,6804,18.0,2024-11-28,Retired,LAX,2023-10-30,55
ULD000037,PMC,6804,18.0,2020-01-17,Under Maintenance,LAX,2023-09-02,44
ULD000038,PLA,4627,12.0,2022-11-12,In Use,PVG,2023-12-10,47
ULD000039,AAP,6032,16.0,2021-07-08,In Use,SYD,2023-06-01,61
ULD000040,AKH,1588,11.5,2021-08-05,In Use,PVG,2023-07-29,53
ULD000041,PLA,4627,12.0,2022-08-09,In Use,FRA,2024-07-13,41
ULD000042,AKE,1588,10.4,2021-08-14,Available,BKK,2023-08-09,52
ULD000043,PMC,6804,18.0,2024-08-19,In Use,PVG,2023-06-03,60
ULD000044,PLA,4627,12.0,2022-10-20,In Use,FRA,2024-09-20,41
ULD000045,AMA,6804,18.0,2020-04-14,In Use,NRT,2023-09-12,44
ULD000046,DQF,2449,7.0,2022-05-02,In Use,HKG,2025-01-06,47
ULD000047,AKE,1588,10.4,2024-01-09,Available,ORD,2023-08-17,40
